assay,scheme,spearman,n
HIS7_YEAST_Pokusaeva_2019,fold_contiguous_5,0.1444920809269036,168
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,fold_random_5,0.6925945764805904,2252
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,fold_modulo_5,0.44521465088470785,2252
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,fold_contiguous_5,0.40776157919256556,2252
HSP82_YEAST_Mishra_2016,fold_random_5,0.7820253632911224,4323
HSP82_YEAST_Mishra_2016,fold_modulo_5,0.6302873034880552,4323
HSP82_YEAST_Mishra_2016,fold_contiguous_5,0.6767760350838801,4323
HXK4_HUMAN_Gersing_2023_abundance,fold_random_5,0.6392222793165653,8396
HXK4_HUMAN_Gersing_2023_abundance,fold_modulo_5,0.5237028212192051,8396
HXK4_HUMAN_Gersing_2023_abundance,fold_contiguous_5,0.4423022609333896,8396
IF1_ECOLI_Kelsic_2016,fold_random_5,0.8727096961434009,1367
IF1_ECOLI_Kelsic_2016,fold_modulo_5,0.5684108736489217,1367
IF1_ECOLI_Kelsic_2016,fold_contiguous_5,0.57663132024285,1367
ISDH_STAAW_Tsuboyama_2023_2LHR,fold_random_5,0.8600165135565099,940
ISDH_STAAW_Tsuboyama_2023_2LHR,fold_modulo_5,0.6340794088753926,940
ISDH_STAAW_Tsuboyama_2023_2LHR,fold_contiguous_5,0.5735010955821965,940
KCNE1_HUMAN_Muhammad_2023_function,fold_random_5,0.792060671357814,2315
KCNE1_HUMAN_Muhammad_2023_function,fold_modulo_5,0.6991148190957764,2315
KCNE1_HUMAN_Muhammad_2023_function,fold_contiguous_5,0.620977739038193,2315
KCNJ2_MOUSE_Coyote-Maestas_2022_function,fold_random_5,0.4631927779246668,6963
KCNJ2_MOUSE_Coyote-Maestas_2022_function,fold_modulo_5,0.41681808581304863,6963
KCNJ2_MOUSE_Coyote-Maestas_2022_function,fold_contiguous_5,0.4107044889160337,6963
KKA2_KLEPN_Melnikov_2014,fold_random_5,0.8139797465798907,4960
KKA2_KLEPN_Melnikov_2014,fold_modulo_5,0.7451305713604529,4960
KKA2_KLEPN_Melnikov_2014,fold_contiguous_5,0.7339586015253968,4960
LYAM1_HUMAN_Elazar_2016,fold_random_5,0.7140948260602368,359
LYAM1_HUMAN_Elazar_2016,fold_modulo_5,0.5783004725520404,359
LYAM1_HUMAN_Elazar_2016,fold_contiguous_5,0.6546840229688302,359
MBD11_ARATH_Tsuboyama_2023_6ACV,fold_random_5,0.9440082083923848,1155
MBD11_ARATH_Tsuboyama_2023_6ACV,fold_modulo_5,0.7442004376980837,1155
MBD11_ARATH_Tsuboyama_2023_6ACV,fold_contiguous_5,0.661602950671056,1155
MK01_HUMAN_Brenan_2016,fold_random_5,0.5785637092888668,6809
MK01_HUMAN_Brenan_2016,fold_modulo_5,0.44656174238754354,6809
MK01_HUMAN_Brenan_2016,fold_contiguous_5,0.3757324863694555,6809
MSH2_HUMAN_Jia_2020,fold_random_5,0.6154627508121004,16749
MSH2_HUMAN_Jia_2020,fold_modulo_5,0.4815848437361487,16749
MSH2_HUMAN_Jia_2020,fold_contiguous_5,0.3909783747899566,16749
MTHR_HUMAN_Weile_2021,fold_random_5,0.6910803800946864,12464
MTHR_HUMAN_Weile_2021,fold_modulo_5,0.593445455439491,12464
MTHR_HUMAN_Weile_2021,fold_contiguous_5,0.5003967446279965,12464
NCAP_I34A1_Doud_2015,fold_random_5,0.5411438707102425,9462
NCAP_I34A1_Doud_2015,fold_modulo_5,0.3423397744772022,9462
NCAP_I34A1_Doud_2015,fold_contiguous_5,0.24161418321557002,9462
NPC1_HUMAN_Erwood_2022_HEK293T,fold_random_5,0.7814289751881286,637
NPC1_HUMAN_Erwood_2022_HEK293T,fold_modulo_5,0.7000253383121989,637
NPC1_HUMAN_Erwood_2022_HEK293T,fold_contiguous_5,0.6891887514331366,637
NRAM_I33A0_Jiang_2016,fold_random_5,0.6853421195411274,298
NRAM_I33A0_Jiang_2016,fold_modulo_5,0.5371220226779024,298
NRAM_I33A0_Jiang_2016,fold_contiguous_5,0.3371478244545067,298
NUSA_ECOLI_Tsuboyama_2023_1WCL,fold_random_5,0.9468346264275543,1306
NUSA_ECOLI_Tsuboyama_2023_1WCL,fold_modulo_5,0.873141560227681,1306
NUSA_ECOLI_Tsuboyama_2023_1WCL,fold_contiguous_5,0.8590757065506689,1306
OBSCN_HUMAN_Tsuboyama_2023_1V1C,fold_random_5,0.9386801185605972,1213
OBSCN_HUMAN_Tsuboyama_2023_1V1C,fold_modulo_5,0.8130760284222138,1213
OBSCN_HUMAN_Tsuboyama_2023_1V1C,fold_contiguous_5,0.7934577664421583,1213
OPSD_HUMAN_Wan_2019,fold_random_5,0.6374232878900308,165
OPSD_HUMAN_Wan_2019,fold_modulo_5,0.5619560281035451,165
OPSD_HUMAN_Wan_2019,fold_contiguous_5,0.5623754441268402,165
OTU7A_HUMAN_Tsuboyama_2023_2L2D,fold_random_5,0.9378608635936292,635
OTU7A_HUMAN_Tsuboyama_2023_2L2D,fold_modulo_5,0.8950552071009572,635
OTU7A_HUMAN_Tsuboyama_2023_2L2D,fold_contiguous_5,0.8668484878195316,635
OXDA_RHOTO_Vanella_2023_expression,fold_random_5,0.6286779263752972,6769
OXDA_RHOTO_Vanella_2023_expression,fold_modulo_5,0.5128289783487876,6769
OXDA_RHOTO_Vanella_2023_expression,fold_contiguous_5,0.43759084417355854,6769
P53_HUMAN_Giacomelli_2018_Null_Nutlin,fold_random_5,0.73094270161245,7467
P53_HUMAN_Giacomelli_2018_Null_Nutlin,fold_modulo_5,0.6547786748563934,7467
P53_HUMAN_Giacomelli_2018_Null_Nutlin,fold_contiguous_5,0.5917556096782854,7467
P53_HUMAN_Kotler_2018,fold_random_5,0.7682381833517529,1048
P53_HUMAN_Kotler_2018,fold_modulo_5,0.7373806386217645,1048
P53_HUMAN_Kotler_2018,fold_contiguous_5,0.7370773486591564,1048
PABP_YEAST_Melamed_2013,fold_random_5,0.8724378683355585,1187
PABP_YEAST_Melamed_2013,fold_modulo_5,0.7908024481659491,1187
PABP_YEAST_Melamed_2013,fold_contiguous_5,0.8071893110741857,1187
PA_I34A1_Wu_2015,fold_random_5,0.3337621762684934,1820
PA_I34A1_Wu_2015,fold_modulo_5,0.3132965647528527,1820
PA_I34A1_Wu_2015,fold_contiguous_5,0.26393497883542266,1820
PIN1_HUMAN_Tsuboyama_2023_1I6C,fold_random_5,0.9332521780814224,686
PIN1_HUMAN_Tsuboyama_2023_1I6C,fold_modulo_5,0.8219021788852346,686
PIN1_HUMAN_Tsuboyama_2023_1I6C,fold_contiguous_5,0.8203122694206681,686
PKN1_HUMAN_Tsuboyama_2023_1URF,fold_random_5,0.904518293092098,1301
PKN1_HUMAN_Tsuboyama_2023_1URF,fold_modulo_5,0.7818829278390442,1301
PKN1_HUMAN_Tsuboyama_2023_1URF,fold_contiguous_5,0.749591394934203,1301
POLG_DEN26_Suphatrakul_2023,fold_random_5,0.7589326849693496,16897
POLG_DEN26_Suphatrakul_2023,fold_modulo_5,0.5179097249069353,16897
POLG_DEN26_Suphatrakul_2023,fold_contiguous_5,0.42356079469770386,16897
POLG_PESV_Tsuboyama_2023_2MXD,fold_random_5,0.8903915132860348,995
POLG_PESV_Tsuboyama_2023_2MXD,fold_modulo_5,0.5481925286219352,995
POLG_PESV_Tsuboyama_2023_2MXD,fold_contiguous_5,0.5147585748927048,995
PPM1D_HUMAN_Miller_2022,fold_random_5,0.6742448805587591,7889
PPM1D_HUMAN_Miller_2022,fold_modulo_5,0.643084328605814,7889
PPM1D_HUMAN_Miller_2022,fold_contiguous_5,0.6605277288277297,7889
PRKN_HUMAN_Clausen_2023,fold_random_5,0.8839779882419715,8756
PRKN_HUMAN_Clausen_2023,fold_modulo_5,0.7070333055073328,8756
PRKN_HUMAN_Clausen_2023,fold_contiguous_5,0.6476667764072541,8756
PTEN_HUMAN_Matreyek_2021,fold_random_5,0.7099305218257798,5083
PTEN_HUMAN_Matreyek_2021,fold_modulo_5,0.6368477791942392,5083
PTEN_HUMAN_Matreyek_2021,fold_contiguous_5,0.5519715908843869,5083
Q2N0S5_9HIV1_Haddox_2018,fold_random_5,0.8286337688805167,12729
Q2N0S5_9HIV1_Haddox_2018,fold_modulo_5,0.6391733798719863,12729
Q2N0S5_9HIV1_Haddox_2018,fold_contiguous_5,0.5741675937955983,12729
Q53Z42_HUMAN_McShan_2019_expression,fold_random_5,0.7909287794164382,3344
Q53Z42_HUMAN_McShan_2019_expression,fold_modulo_5,0.6469549324359838,3344
Q53Z42_HUMAN_McShan_2019_expression,fold_contiguous_5,0.6378214288859065,3344
Q6WV12_9MAXI_Somermeyer_2022,fold_random_5,0.48585348820872176,1141
Q6WV12_9MAXI_Somermeyer_2022,fold_modulo_5,0.24649968084615387,1141
Q6WV12_9MAXI_Somermeyer_2022,fold_contiguous_5,0.1761481929996516,1141
Q837P5_ENTFA_Meier_2023,fold_random_5,0.7997951462297519,747
Q837P5_ENTFA_Meier_2023,fold_modulo_5,0.442259112963695,747
Q837P5_ENTFA_Meier_2023,fold_contiguous_5,0.49792596993620186,747
R1AB_SARS2_Flynn_2022,fold_random_5,0.7335574440118333,5725
R1AB_SARS2_Flynn_2022,fold_modulo_5,0.3935587859579199,5725
R1AB_SARS2_Flynn_2022,fold_contiguous_5,0.2797736290771201,5725
RAF1_HUMAN_Zinkus-Boltz_2019,fold_random_5,0.3583418916152452,297
RAF1_HUMAN_Zinkus-Boltz_2019,fold_modulo_5,0.3502042174891957,297
RAF1_HUMAN_Zinkus-Boltz_2019,fold_contiguous_5,0.36614591538396657,297
RASK_HUMAN_Weng_2022_abundance,fold_random_5,0.7945124271435757,3066
RASK_HUMAN_Weng_2022_abundance,fold_modulo_5,0.617087059991069,3066
RASK_HUMAN_Weng_2022_abundance,fold_contiguous_5,0.5300883818647092,3066
RBP1_HUMAN_Tsuboyama_2023_2KWH,fold_random_5,0.9174521588398531,975
RBP1_HUMAN_Tsuboyama_2023_2KWH,fold_modulo_5,0.8715829597409274,975
RBP1_HUMAN_Tsuboyama_2023_2KWH,fold_contiguous_5,0.8591627246513089,975
RCRO_LAMBD_Tsuboyama_2023_1ORC,fold_random_5,0.9476249946345974,1195
RCRO_LAMBD_Tsuboyama_2023_1ORC,fold_modulo_5,0.7763509633165226,1195
RCRO_LAMBD_Tsuboyama_2023_1ORC,fold_contiguous_5,0.704090337136534,1195
RDRP_I33A0_Li_2023,fold_random_5,0.5657161465480794,12003
RDRP_I33A0_Li_2023,fold_modulo_5,0.422060743031473,12003
RDRP_I33A0_Li_2023,fold_contiguous_5,0.3487924888509828,12003
RFAH_ECOLI_Tsuboyama_2023_2LCL,fold_random_5,0.8799745387224832,969
RFAH_ECOLI_Tsuboyama_2023_2LCL,fold_modulo_5,0.7416041849820035,969
RFAH_ECOLI_Tsuboyama_2023_2LCL,fold_contiguous_5,0.6947820056679666,969
RL40A_YEAST_Mavor_2016,fold_random_5,0.7580624171839324,1253
RL40A_YEAST_Mavor_2016,fold_modulo_5,0.6005790208810539,1253
RL40A_YEAST_Mavor_2016,fold_contiguous_5,0.6440485419327233,1253
RL40A_YEAST_Roscoe_2014,fold_random_5,0.820195952466445,1380
RL40A_YEAST_Roscoe_2014,fold_modulo_5,0.6312586342860079,1380
RL40A_YEAST_Roscoe_2014,fold_contiguous_5,0.6563173810766351,1380
RPC1_BP434_Tsuboyama_2023_1R69,fold_random_5,0.9525128683868823,1124
RPC1_BP434_Tsuboyama_2023_1R69,fold_modulo_5,0.9169887963965156,1124
RPC1_BP434_Tsuboyama_2023_1R69,fold_contiguous_5,0.8885895119039777,1124
RPC1_LAMBD_Li_2019_low-expression,fold_random_5,0.7423780028829579,351
RPC1_LAMBD_Li_2019_low-expression,fold_modulo_5,0.6279020979020979,351
RPC1_LAMBD_Li_2019_low-expression,fold_contiguous_5,0.6685815577301089,351
S22A1_HUMAN_Yee_2023_abundance,fold_random_5,0.8369403541412745,9803
S22A1_HUMAN_Yee_2023_abundance,fold_modulo_5,0.694734395717186,9803
S22A1_HUMAN_Yee_2023_abundance,fold_contiguous_5,0.6544577198718411,9803
SAV1_MOUSE_Tsuboyama_2023_2YSB,fold_random_5,0.9164742716991943,679
SAV1_MOUSE_Tsuboyama_2023_2YSB,fold_modulo_5,0.7843828154708827,679
SAV1_MOUSE_Tsuboyama_2023_2YSB,fold_contiguous_5,0.7508444090485987,679
SC6A4_HUMAN_Young_2021,fold_random_5,0.7255019424565973,11576
SC6A4_HUMAN_Young_2021,fold_modulo_5,0.6471162144222375,11576
SC6A4_HUMAN_Young_2021,fold_contiguous_5,0.620327021927937,11576
SCN5A_HUMAN_Glazer_2019,fold_random_5,0.25245635941513284,224
SCN5A_HUMAN_Glazer_2019,fold_modulo_5,0.12648679438576002,224
SCN5A_HUMAN_Glazer_2019,fold_contiguous_5,0.14754233135000014,224
SERC_HUMAN_Xie_2023,fold_random_5,0.6459195212862076,1914
SERC_HUMAN_Xie_2023,fold_modulo_5,0.5959163307060072,1914
SERC_HUMAN_Xie_2023,fold_contiguous_5,0.595981865375679,1914
SOX30_HUMAN_Tsuboyama_2023_7JJK,fold_random_5,0.9269393613067091,1010
SOX30_HUMAN_Tsuboyama_2023_7JJK,fold_modulo_5,0.8105399159470625,1010
SOX30_HUMAN_Tsuboyama_2023_7JJK,fold_contiguous_5,0.7430652602735595,1010
SPG1_STRSG_Olson_2014,fold_random_5,0.9155766030354939,1045
SPG1_STRSG_Olson_2014,fold_modulo_5,0.6420843969236643,1045
SPG1_STRSG_Olson_2014,fold_contiguous_5,0.5637047358185254,1045
SPG2_STRSG_Tsuboyama_2023_5UBS,fold_random_5,0.9013962510279349,1029
SPG2_STRSG_Tsuboyama_2023_5UBS,fold_modulo_5,0.7286229754771295,1029
SPG2_STRSG_Tsuboyama_2023_5UBS,fold_contiguous_5,0.692901165281504,1029
SPIKE_SARS2_Starr_2020_expression,fold_random_5,0.8473940489465558,3798
SPIKE_SARS2_Starr_2020_expression,fold_modulo_5,0.4969645729336403,3798
SPIKE_SARS2_Starr_2020_expression,fold_contiguous_5,0.3590715509487133,3798
SQSTM_MOUSE_Tsuboyama_2023_2RRU,fold_random_5,0.9385142670168259,707
SQSTM_MOUSE_Tsuboyama_2023_2RRU,fold_modulo_5,0.8407700566780227,707
