assay,scheme,spearman
TPOR_HUMAN_Bridgford_2020,fold_contiguous_5,0.47594313013054607
SYUA_HUMAN_Newberry_2020,fold_random_5,0.6006375146867128
SYUA_HUMAN_Newberry_2020,fold_modulo_5,0.5625106421514925
SYUA_HUMAN_Newberry_2020,fold_contiguous_5,0.502857950079604
ARGR_ECOLI_Tsuboyama_2023_1AOY,fold_random_5,0.8802873316194028
ARGR_ECOLI_Tsuboyama_2023_1AOY,fold_modulo_5,0.7924706567696828
ARGR_ECOLI_Tsuboyama_2023_1AOY,fold_contiguous_5,0.7322723932366234
ENV_HV1BR_Haddox_2016,fold_random_5,0.37478430725253215
ENV_HV1BR_Haddox_2016,fold_modulo_5,0.3547914883636882
ENV_HV1BR_Haddox_2016,fold_contiguous_5,0.32166638807028713
PTEN_HUMAN_Mighell_2018,fold_random_5,0.6474628551632299
PTEN_HUMAN_Mighell_2018,fold_modulo_5,0.5891728097288766
PTEN_HUMAN_Mighell_2018,fold_contiguous_5,0.5351043373511741
VRPI_BPT7_Tsuboyama_2023_2WNM,fold_random_5,0.9323757476515971
VRPI_BPT7_Tsuboyama_2023_2WNM,fold_modulo_5,0.8396838037597449
VRPI_BPT7_Tsuboyama_2023_2WNM,fold_contiguous_5,0.8384878602295668
PITX2_HUMAN_Tsuboyama_2023_2L7M,fold_random_5,0.9313776180587735
PITX2_HUMAN_Tsuboyama_2023_2L7M,fold_modulo_5,0.7708580916695674
PITX2_HUMAN_Tsuboyama_2023_2L7M,fold_contiguous_5,0.7275849953139173
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,fold_random_5,0.6546756846748002
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,fold_modulo_5,0.5066812990720021
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,fold_contiguous_5,0.4554049253198378
SHOC2_HUMAN_Kwon_2022,fold_random_5,0.6491497367186881
SHOC2_HUMAN_Kwon_2022,fold_modulo_5,0.539276709201581
SHOC2_HUMAN_Kwon_2022,fold_contiguous_5,0.4638175714178784
Q2N0S5_9HIV1_Haddox_2018,fold_random_5,0.8411522928289531
Q2N0S5_9HIV1_Haddox_2018,fold_modulo_5,0.6288325193579555
Q2N0S5_9HIV1_Haddox_2018,fold_contiguous_5,0.5134485862642336
P53_HUMAN_Kotler_2018,fold_random_5,0.7905387911661887
P53_HUMAN_Kotler_2018,fold_modulo_5,0.7435375788239807
P53_HUMAN_Kotler_2018,fold_contiguous_5,0.7241782087790357
SRC_HUMAN_Nguyen_2022,fold_random_5,0.7339785133859078
SRC_HUMAN_Nguyen_2022,fold_modulo_5,0.5917048321208795
SRC_HUMAN_Nguyen_2022,fold_contiguous_5,0.5722404313960995
HXK4_HUMAN_Gersing_2022_activity,fold_random_5,0.6999513687723776
HXK4_HUMAN_Gersing_2022_activity,fold_modulo_5,0.6495634465030504
HXK4_HUMAN_Gersing_2022_activity,fold_contiguous_5,0.6324382382286766
SRBS1_HUMAN_Tsuboyama_2023_2O2W,fold_random_5,0.9376115120708075
SRBS1_HUMAN_Tsuboyama_2023_2O2W,fold_modulo_5,0.7773191034289976
SRBS1_HUMAN_Tsuboyama_2023_2O2W,fold_contiguous_5,0.7924737177568819
PSAE_SYNP2_Tsuboyama_2023_1PSE,fold_random_5,0.9001071953087129
PSAE_SYNP2_Tsuboyama_2023_1PSE,fold_modulo_5,0.7312863827906646
PSAE_SYNP2_Tsuboyama_2023_1PSE,fold_contiguous_5,0.7203375357083068
MLAC_ECOLI_MacRae_2023,fold_random_5,0.7804805113386186
MLAC_ECOLI_MacRae_2023,fold_modulo_5,0.6391504699280101
MLAC_ECOLI_MacRae_2023,fold_contiguous_5,0.5717464400287159
TRPC_SACS2_Chan_2017,fold_random_5,0.8096139647647737
TRPC_SACS2_Chan_2017,fold_modulo_5,0.6720482321365101
TRPC_SACS2_Chan_2017,fold_contiguous_5,0.690399069531578
SRC_HUMAN_Ahler_2019,fold_random_5,0.8262563400638858
SRC_HUMAN_Ahler_2019,fold_modulo_5,0.6503072801871643
SRC_HUMAN_Ahler_2019,fold_contiguous_5,0.6541699519141855
RCD1_ARATH_Tsuboyama_2023_5OAO,fold_random_5,0.911001362749993
RCD1_ARATH_Tsuboyama_2023_5OAO,fold_modulo_5,0.8352119801455551
RCD1_ARATH_Tsuboyama_2023_5OAO,fold_contiguous_5,0.8078284109838372
C6KNH7_9INFA_Lee_2018,fold_random_5,0.8273741057811522
C6KNH7_9INFA_Lee_2018,fold_modulo_5,0.7023206571420256
C6KNH7_9INFA_Lee_2018,fold_contiguous_5,0.6403706060086856
SPG2_STRSG_Tsuboyama_2023_5UBS,fold_random_5,0.9133137501372589
SPG2_STRSG_Tsuboyama_2023_5UBS,fold_modulo_5,0.8104769364747361
SPG2_STRSG_Tsuboyama_2023_5UBS,fold_contiguous_5,0.7936063372282753
UBE4B_MOUSE_Starita_2013,fold_random_5,0.5712372946753385
UBE4B_MOUSE_Starita_2013,fold_modulo_5,0.5044698849058461
UBE4B_MOUSE_Starita_2013,fold_contiguous_5,0.51446173080339
